City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
Yellowknife,90,CA,1638334538,83,62.456,-114.3525,-12.59,4.0
Rikitea,0,PF,1638334538,76,-23.1203,-134.9692,76.41,20.69
Bluff,9,NZ,1638334539,74,-46.6,168.3333,68.81,18.41
Saint-Philippe,88,RE,1638334539,74,-21.3585,55.7679,81.95,8.21
East London,75,ZA,1638334347,94,-33.0153,27.9116,63.54,3.44
Ushuaia,40,AR,1638334500,47,-54.8,-68.3,53.26,14.97
Thinadhoo,88,MV,1638334540,74,0.5333,72.9333,82.27,7.38
Draguignan,5,FR,1638334540,70,43.5333,6.4667,47.86,8.05
Cape Town,0,ZA,1638334514,79,-33.9258,18.4232,64.11,5.75
Marsá Maţrūḩ,99,EG,1638334540,63,31.3525,27.2453,63.46,18.48
Salalah,0,OM,1638334541,31,17.0151,54.0924,77.72,11.25
Skjervøy,36,NO,1638334541,65,70.0311,20.9714,25.21,15.59
San Andrés,40,CO,1638334541,83,12.5847,-81.7006,82.42,17.27
Vaini,40,TO,1638334542,89,-21.2,-175.2,80.76,9.22
Hobart,75,AU,1638334542,60,-42.8794,147.3294,73.26,19.57
Hilo,90,US,1638334295,89,19.7297,-155.09,72.81,9.22
Haverfordwest,74,GB,1638334362,80,51.8017,-4.9691,49.15,10.0
Punta Arenas,90,CL,1638334315,62,-53.15,-70.9167,51.91,8.05
Port Alfred,93,ZA,1638334543,75,-33.5906,26.891,67.69,13.6
Pevek,100,RU,1638334543,100,69.7008,170.3133,-12.06,1.19
Coyhaique,0,CL,1638334518,66,-45.5752,-72.0662,49.95,2.3
Hermanus,17,ZA,1638334451,80,-34.4187,19.2345,62.8,7.18
Katsuura,70,JP,1638334543,51,35.1333,140.3,68.14,35.14
Busselton,62,AU,1638334544,44,-33.65,115.3333,71.04,15.7
Kapaa,30,US,1638334544,76,22.0752,-159.319,76.12,3.0
Dzaoudzi,75,YT,1638334544,74,-12.7887,45.2699,82.29,11.5
Durban,64,ZA,1638334530,82,-29.8579,31.0292,71.02,3.0
Cabo San Lucas,95,MX,1638334545,73,22.8909,-109.9124,77.5,4.7
Dikson,100,RU,1638334545,100,73.5069,80.5464,-18.36,9.13
Rzhaksa,100,RU,1638334545,80,52.1338,42.0264,30.33,8.14
Chokurdakh,100,RU,1638334546,99,70.6333,147.9167,-16.04,6.22
Kabare,100,CD,1638334546,91,-2.4683,28.8242,63.72,1.3
Jamestown,90,US,1638334303,85,42.097,-79.2353,36.72,8.99
Tilichiki,20,RU,1638334546,95,60.4667,166.1,0.12,4.63
Arraial do Cabo,84,BR,1638334547,92,-22.9661,-42.0278,73.29,4.79
Uíge,100,AO,1638334547,99,-7.6087,15.0613,66.92,2.04
Juruti,92,BR,1638334392,79,-2.1522,-56.0922,77.65,2.37
Andrelândia,71,BR,1638334548,97,-21.7397,-44.3092,62.1,1.25
Ahipara,99,NZ,1638334548,65,-35.1667,173.1667,69.53,4.61
Constitución,13,CL,1638334548,94,-35.3333,-72.4167,51.62,4.52
Mataura,23,NZ,1638334549,50,-46.1927,168.8643,68.49,4.85
Mount Gambier,2,AU,1638334549,50,-37.8333,140.7667,76.91,12.66
Hambantota,40,LK,1638334549,89,6.1241,81.1185,80.94,3.44
Aklavik,65,CA,1638334549,99,68.2191,-135.0107,-22.97,4.99
Mbala,90,ZM,1638334550,66,-8.8402,31.3659,67.15,8.1
Norman Wells,75,CA,1638334550,68,65.282,-126.8329,-25.56,5.75
Hsinchu,3,TW,1638334438,53,24.8036,120.9686,63.9,13.0
Cepu,58,ID,1638334551,65,-7.1475,111.5906,87.69,8.16
Tiksi,100,RU,1638334551,97,71.6872,128.8694,-22.2,6.33
Koumac,58,NC,1638334551,72,-20.5667,164.2833,82.87,5.35
Sanguéya,4,GN,1638334552,95,10.7,-14.3667,74.08,0.69
Cidreira,8,BR,1638334342,88,-30.1811,-50.2056,66.29,9.86
Kahului,40,US,1638334412,81,20.8947,-156.47,77.85,12.66
Namatanai,40,PG,1638334552,65,-3.6667,152.4333,84.9,9.71
Broken Hill,0,AU,1638334553,19,-31.95,141.4333,91.11,5.75
Sabalgarh,100,IN,1638334553,33,26.25,77.4,69.94,3.11
Tripoli,4,LY,1638334554,54,32.8752,13.1875,57.72,6.44
Kruisfontein,32,ZA,1638334554,74,-34.0033,24.7314,60.89,6.26
Nome,5,US,1638334554,79,64.5011,-165.4064,-19.89,5.41
Port Elizabeth,0,ZA,1638334555,94,-33.918,25.5701,63.1,5.75
Saskylakh,83,RU,1638334555,100,71.9167,114.0833,-39.82,4.47
Thompson,90,CA,1638334555,78,55.7435,-97.8558,-0.24,2.3
Ponta do Sol,80,PT,1638334556,80,32.6667,-17.1,62.01,6.22
Rawson,8,AR,1638334356,50,-43.3002,-65.1023,68.43,24.76
College,90,US,1638334556,78,64.8569,-147.8028,1.38,0.0
Albany,90,US,1638334556,87,42.6001,-73.9662,35.62,3.98
Bubaque,25,GW,1638334557,67,11.2833,-15.8333,80.71,8.12
Araouane,78,ML,1638334557,20,18.9048,-3.5265,66.67,12.03
Alta Floresta,100,BR,1638334557,97,-9.8756,-56.0861,70.72,3.42
Sucúa,97,EC,1638334558,91,-2.4667,-78.1667,67.41,2.66
Lorengau,10,PG,1638334558,64,-2.0226,147.2712,85.41,6.6
Mahébourg,40,MU,1638334558,69,-20.4081,57.7,83.25,4.61
Qaanaaq,74,GL,1638334559,78,77.484,-69.3632,3.09,7.38
Fortuna,75,US,1638334420,72,40.5982,-124.1573,50.99,0.0
Tuburan,90,PH,1638334559,73,6.6439,122.2736,86.09,0.65
Lincoln,97,US,1638334523,71,40.8,-96.667,47.98,4.0
Deputatsky,100,RU,1638334560,96,69.3,139.9,-24.12,4.94
Mossamedes,99,AO,1638334456,84,-15.1961,12.1522,68.52,2.3
Nauta,100,PE,1638334560,97,-4.5061,-73.5757,72.84,2.21
Airai,43,TL,1638334560,51,-8.9266,125.4092,77.43,2.98
Kirovskiy,100,RU,1638334561,90,45.0917,133.5136,11.64,17.31
Kwang Binh,82,VN,1638334561,63,17.4833,106.6,72.18,19.19
Kavaratti,44,IN,1638334348,78,10.5669,72.642,81.99,13.44
Pisco,0,PE,1638334561,88,-13.7,-76.2167,63.01,11.5
Cotonou,40,BJ,1638334562,89,6.3654,2.4183,80.58,3.44
San Jose,20,US,1638334263,50,37.3394,-121.895,66.7,3.44
Butaritari,82,KI,1638334562,76,3.0707,172.7902,82.47,7.87
Nanortalik,100,GL,1638334562,92,60.1432,-45.2371,37.31,24.76
Carauari,100,BR,1638334563,99,-4.8828,-66.8958,72.45,1.9
Pitimbu,84,BR,1638334563,77,-7.4706,-34.8086,77.59,8.37
Abū Zabad,1,SD,1638334563,28,12.35,29.25,73.71,9.53
Karacaköy,13,TR,1638334564,68,41.4029,28.3834,42.84,13.51
Ostrovnoy,100,RU,1638334564,64,68.0531,39.5131,25.14,35.32
Atuona,5,PF,1638334564,75,-9.8,-139.0333,78.91,20.74
Kaohsiung City,75,TW,1638334565,63,22.6163,120.3133,73.35,1.01
Hualmay,96,PE,1638334565,87,-11.0964,-77.6139,64.9,6.89
Kaitangata,96,NZ,1638334565,80,-46.2817,169.8464,59.94,13.87
Constanța,95,RO,1638334357,61,44.1833,28.65,32.7,25.12
Tarbagatay,30,RU,1638334566,72,51.4803,107.3602,18.93,7.0
Impfondo,99,CG,1638334566,97,1.6381,18.0667,69.39,2.39
Sunnyside,100,US,1638334566,79,46.3237,-120.0087,59.02,2.66
Dongsheng,6,CN,1638334567,33,39.8161,109.9776,28.02,11.32
Bredasdorp,68,ZA,1638334567,73,-34.5322,20.0403,62.28,7.38
Anadyr,75,RU,1638334567,84,64.75,177.4833,3.7,20.0
Srednekolymsk,97,RU,1638334568,99,67.45,153.6833,-22.67,9.04
Cumana,96,VE,1638334418,84,10.4635,-64.1775,78.89,8.61
Clyde River,100,CA,1638334568,78,70.4692,-68.5914,5.23,13.8
Eganville,98,CA,1638334568,82,45.5334,-77.0994,30.02,7.85
Coquimbo,0,CL,1638334396,82,-29.9533,-71.3436,55.13,2.3
George Town,40,MY,1638334569,74,5.4112,100.3354,88.9,1.01
Saint-Pierre,0,RE,1638334569,64,-21.3393,55.4781,82.04,20.71
Sioux Lookout,75,CA,1638334570,85,50.1001,-91.917,10.47,2.3
Mar del Plata,0,AR,1638334404,70,-38.0023,-57.5575,59.88,11.99
Laguna,20,US,1638334339,93,38.421,-121.4238,64.96,0.0
Nikolskoye,100,RU,1638334570,93,59.7035,30.7861,22.91,7.76
Upernavik,97,GL,1638334571,86,72.7868,-56.1549,20.55,4.68
Ol'ga,99,RU,1638334571,61,43.7444,135.2892,19.13,21.43
Lyubim,100,RU,1638334571,87,58.3625,40.6843,25.56,13.04
Palestine,100,PS,1638334572,72,31.9216,35.2033,54.82,15.52
Lavrentiya,2,RU,1638334572,87,65.5833,-171.0,-14.35,8.68
Gīdolē,76,ET,1638334572,39,5.65,37.3667,60.58,4.23
Cayenne,75,GF,1638334339,92,4.9333,-52.3333,77.09,1.14
Berlevåg,100,NO,1638334481,59,70.8578,29.0864,32.95,29.17
Camacupa,100,AO,1638334573,96,-12.0167,17.4833,61.18,1.97
Mumbwa,17,ZM,1638334573,28,-14.9783,27.0619,73.8,8.43
Port Hardy,90,CA,1638334573,93,50.6996,-127.4199,48.38,5.75
Saldanha,52,ZA,1638334574,79,-33.0117,17.9442,51.85,3.0
Tura,7,IN,1638334574,42,25.5198,90.2201,78.03,1.9
Pavlohrad,54,UA,1638334575,81,48.5167,35.8667,25.75,10.11
Udachny,100,RU,1638334575,96,66.4167,112.4,-15.5,3.42
Port Hawkesbury,1,CA,1638334390,79,45.6169,-61.3485,31.59,4.0
Marabu,40,MY,1638334575,58,4.4148,114.0089,89.74,5.75
Novikovo,65,RU,1638334576,80,51.1537,37.8879,28.62,8.55
Zharkent,86,KZ,1638334576,25,44.1628,80.0,40.05,4.05
Tuktoyaktuk,20,CA,1638334577,75,69.4541,-133.0374,-31.0,2.3
Ternate,99,ID,1638334577,74,0.8,127.4,82.69,6.98
Aljezur,1,PT,1638334577,77,37.3191,-8.8033,50.0,3.78
Jacksonville Beach,8,US,1638334578,62,30.2947,-81.3931,50.04,1.88
Zambezi,100,ZM,1638334578,80,-13.5432,23.1047,69.04,5.01
Farafangana,9,MG,1638334578,77,-22.8167,47.8333,79.7,8.34
Bilma,49,NE,1638334579,35,18.6853,12.9164,63.72,9.4
Severo-Kuril'sk,100,RU,1638334579,97,50.6789,156.125,36.12,18.43
Klaksvík,46,FO,1638334579,58,62.2266,-6.589,34.72,23.11
Adrar,98,MR,1638334580,19,20.5022,-10.0711,61.14,10.2
Dharmanagar,6,IN,1638334580,47,24.3667,92.1667,81.41,4.18
Castro,0,BR,1638334370,78,-24.7911,-50.0119,56.57,2.89
Erenhot,4,CN,1638334580,51,43.6475,111.9767,26.38,11.7
Richards Bay,99,ZA,1638334581,74,-28.783,32.0377,72.57,13.02
Srīvardhan,100,IN,1638334581,86,18.0333,73.0167,75.31,6.51
Oistins,75,BB,1638334581,94,13.0667,-59.5333,78.89,24.16
Porto Velho,75,BR,1638334582,94,-8.7619,-63.9039,75.25,0.0
Barrow,44,US,1638334501,98,71.2906,-156.7887,-20.56,9.69
Prestea,93,GH,1638334582,97,5.4327,-2.1428,73.67,1.03
Sinnamary,97,GF,1638334583,90,5.3833,-52.95,77.29,11.07
Arman',10,RU,1638334583,86,59.7,150.1667,-15.99,8.97
Bengkulu,67,ID,1638334583,65,-3.8004,102.2655,84.02,8.99
Dāmghān,41,IR,1638334584,47,36.1683,54.348,49.59,2.53
Hithadhoo,79,MV,1638334584,74,-0.6,73.0833,81.95,6.73
Bowen,11,AU,1638334584,70,-20.0167,148.2333,89.82,9.78
Zhigansk,100,RU,1638334585,100,66.7697,123.3711,-34.04,1.43
Melfi,5,IT,1638334585,82,40.9965,15.6514,36.39,7.43
Juneau,90,US,1638334505,95,58.3019,-134.4197,36.84,11.5
Lata,17,PT,1638334586,84,40.1629,-8.3327,40.06,1.28
Santa Cruz de la Sierra,75,BO,1638334586,88,-17.8,-63.1667,67.46,6.91
Presidente Epitácio,6,BR,1638334586,58,-21.7633,-52.1156,67.66,2.89
Torbay,40,CA,1638334586,86,47.6666,-52.7314,40.26,26.46
Floriano,67,BR,1638334587,88,-6.7669,-43.0225,73.99,1.25
Pontianak,20,ID,1638334587,49,-0.0333,109.3333,91.38,6.91
Aktau,10,KZ,1638334587,82,43.65,51.2,48.78,20.33
Leningradskiy,80,RU,1638334588,96,69.3833,178.4167,-21.96,10.69
Nhulunbuy,75,AU,1638334588,66,-12.2333,136.7667,88.41,4.61
Zhicheng,65,CN,1638334588,23,30.2956,111.5047,55.54,3.27
Vågåmo,79,NO,1638334589,88,61.8751,9.0967,8.44,3.67
Tokur,100,RU,1638334589,89,53.1333,132.9,-4.18,5.95
Hong Kong,19,HK,1638334299,38,22.2855,114.1577,72.18,1.99
Artesia,0,US,1638334589,59,33.8658,-118.0831,78.06,1.5
Taltal,19,CL,1638334590,83,-25.4,-70.4833,61.12,1.34
Baruun-Urt,4,MN,1638334590,58,46.6806,113.2792,21.83,11.9
Inhambane,12,MZ,1638334590,73,-23.865,35.3833,77.74,10.02
Cherskiy,100,RU,1638334591,98,68.75,161.3,-15.84,5.59
Lagoa,75,PT,1638334591,81,39.05,-27.9833,62.37,10.87
Khatanga,93,RU,1638334591,98,71.9667,102.5,-35.66,4.94
Sobolevo,100,RU,1638334591,90,54.4299,31.8996,22.77,12.3
Ban Nahin,51,LA,1638334592,33,18.2418,104.2122,81.64,4.07
São José dos Pinhais,0,BR,1638334592,92,-25.5347,-49.2064,62.83,6.91
Zhovti Vody,58,UA,1638334592,64,48.3473,33.5003,28.06,15.35
Hasaki,83,JP,1638334593,48,35.7333,140.8333,68.4,16.51
Isangel,75,VU,1638334593,83,-19.55,169.2667,80.71,0.0
Urengoy,98,RU,1638334593,96,65.9667,78.3667,-11.38,8.16
Portland,99,US,1638334506,89,45.5234,-122.6762,58.33,8.99
Sulina,55,RO,1638334594,65,45.1559,29.6536,37.62,16.71
Raja,63,SS,1638334594,72,8.4596,25.678,75.13,3.24
Alofi,42,NU,1638334595,69,-19.0595,-169.9187,80.49,17.27
Mount Hagen,40,PG,1638334595,53,-5.8581,144.2274,77.76,9.22
Turbat,3,PK,1638334595,23,26.0023,63.044,77.61,5.3
Gagnoa,71,CI,1638334596,98,6.1293,-5.9437,71.19,1.59
Kieta,90,PG,1638334596,74,-6.2167,155.6333,83.59,2.42
Touros,51,BR,1638334442,80,-5.1989,-35.4608,79.7,10.47
Bela,80,IN,1638334596,27,25.9333,81.9833,74.14,2.57
Port Lincoln,5,AU,1638334597,62,-34.7333,135.8667,66.04,14.97
Shache,54,CN,1638334597,28,38.4167,77.2406,34.07,2.55
Vologda,99,RU,1638334597,90,59.2187,39.8886,24.37,12.26
El Salvador,0,SV,1638334501,83,13.8333,-88.9167,63.19,3.83
Kloulklubed,73,PW,1638334598,77,7.0419,134.2556,79.3,19.01
Ribeira Grande,38,PT,1638334598,79,38.5167,-28.7,62.74,7.85
Mayumba,100,GA,1638334598,91,-3.432,10.6554,76.53,3.56
Sitka,90,US,1638334599,75,57.0531,-135.33,42.69,17.27
New Norfolk,100,AU,1638334599,58,-42.7826,147.0587,72.9,2.17
El Cobre,33,CU,1638334599,93,20.0489,-75.9469,69.12,4.68
Lahaina,79,US,1638334600,88,20.8783,-156.6825,77.81,5.95
Tashtyp,14,RU,1638334600,69,52.7939,89.8983,30.36,2.84
Mineiros,86,BR,1638334600,93,-17.5694,-52.5511,68.85,2.89
Kavieng,48,PG,1638334600,65,-2.5744,150.7967,85.46,9.95
Qaqortoq,100,GL,1638334601,96,60.7167,-46.0333,36.03,12.64
Khasan,48,RU,1638334601,67,42.4308,130.6434,21.6,30.96
Quatre Cocos,18,MU,1638334601,65,-20.2078,57.7625,83.08,13.2
Vila Franca do Campo,73,PT,1638334602,88,37.7167,-25.4333,63.19,7.4
Kharan,12,PK,1638334602,22,28.5833,65.4167,66.81,0.47
Selçuk,2,TR,1638334602,69,37.9514,27.3685,55.02,2.06
Vysokogornyy,100,RU,1638334603,91,50.1167,139.15,12.45,9.04
Saint Paul Harbor,100,US,1638334478,82,57.79,-152.4072,21.99,7.94
Paamiut,100,GL,1638334603,82,61.994,-49.6678,41.05,44.9
Tsabong,0,BW,1638334603,9,-26.0217,22.401,76.37,7.14
Maputo,75,MZ,1638334374,89,-25.9653,32.5892,74.88,17.0
Arrifes,75,PT,1638334604,82,37.7667,-25.7,61.23,9.22
Chui,77,UY,1638334604,83,-33.6971,-53.4616,62.55,9.64
Puerto Ayora,35,EC,1638334604,93,-0.7393,-90.3518,68.0,6.49
Katherine,34,AU,1638334605,24,-14.4667,132.2667,102.52,8.05
Ust'-Ilimsk,100,RU,1638334605,82,58.0006,102.6619,19.35,15.37
Zonguldak,100,TR,1638334605,97,41.25,31.8333,36.32,6.13
Pierre,44,US,1638334559,65,44.3683,-100.351,48.27,8.99
High Rock,0,BS,1638334606,58,26.6208,-78.2833,59.02,7.34
Tongzi,96,CN,1638334606,56,28.7829,105.0877,57.92,3.36
Sikonge,48,TZ,1638334607,77,-5.6333,32.7667,69.62,3.62
Amapá,97,BR,1638334607,99,1.0,-52.0,72.0,1.92
Tessalit,99,ML,1638334607,17,20.1986,1.0114,70.86,8.9
Almaznyy,100,RU,1638334608,96,48.0448,40.045,30.34,11.18
Faanui,100,PF,1638334608,74,-16.4833,-151.75,81.86,21.18
Belmonte,98,BR,1638334608,87,-15.8631,-38.8828,77.5,13.91
Lima,75,PE,1638334462,82,-12.0432,-77.0282,65.89,12.66
Ostashkov,100,RU,1638334609,92,57.1467,33.1075,20.21,11.43
Labuhan,76,ID,1638334609,70,-6.8844,112.2051,85.01,9.62
Arrondissement de Laon,100,FR,1638334609,88,49.5667,3.6667,46.65,22.95
Helmsdale,100,GB,1638334610,97,58.1168,-3.6517,43.18,21.56
Saint George,1,US,1638334400,32,37.1041,-113.5841,55.26,1.01
Bonthe,12,SL,1638334610,87,7.5264,-12.505,76.21,3.38
Te Anau,4,NZ,1638334610,43,-45.4167,167.7167,74.64,2.35
Havelock,0,US,1638334611,70,34.8791,-76.9013,53.94,1.01
Goedereede,100,NL,1638334611,84,51.8175,3.9806,50.0,8.99
Usinsk,100,RU,1638334611,92,65.9939,57.5281,12.15,25.26
Unity,100,CA,1638334612,75,52.4501,-109.1682,33.26,7.31
Nālūt,5,LY,1638334612,60,30.3333,10.85,46.92,9.08
Avarua,90,CK,1638334612,83,-21.2078,-159.775,77.05,8.05
Wajir,100,KE,1638334613,77,1.7471,40.0573,77.09,12.68
Luwuk,97,ID,1638334613,65,-0.9516,122.7875,86.43,2.01
Wencheng,100,CN,1638334613,22,33.0559,113.7978,49.98,4.27
Tuatapere,4,NZ,1638334614,61,-46.1333,167.6833,68.83,6.78
Kohima,28,IN,1638334614,40,25.6667,94.1167,69.33,1.66
Kariya,52,JP,1638334615,54,34.75,134.4,53.98,24.72
Am Timan,28,TD,1638334615,26,11.0297,20.2827,74.53,6.89
Mariehamn,90,AX,1638334615,64,60.0973,19.9348,30.06,8.05
Havre-St-Pierre,1,CA,1638334616,68,50.2334,-63.5986,26.6,20.71
Arrondissement de Bourges,100,FR,1638334616,92,47.25,2.4167,46.72,18.32
Lüderitz,0,NA,1638334616,77,-26.6481,15.1594,61.14,13.06
Breytovo,100,RU,1638334617,90,58.2993,37.8617,24.84,18.1
Presidencia Roque Sáenz Peña,0,AR,1638334617,56,-26.7852,-60.4388,65.62,6.51
Esperance,64,AU,1638334617,54,-33.8667,121.9,73.24,13.67
Narrabri,40,AU,1638334617,51,-30.3167,149.7833,82.49,12.66
Vanimo,100,PG,1638334618,74,-2.6741,141.3028,82.36,4.47
Tasiilaq,100,GL,1638334618,86,65.6145,-37.6368,13.24,6.93
Souillac,40,MU,1638334618,69,-20.5167,57.5167,83.35,4.61
Pakse,75,LA,1638334619,57,15.1167,105.7833,80.74,9.22
Sabla,3,NG,1638334619,20,12.7525,4.7077,70.0,10.98
Sørland,100,NO,1638334619,64,67.667,12.6934,14.07,14.12
Belaya Gora,99,RU,1638334620,100,68.5333,146.4167,-23.87,4.74
Wanning,58,CN,1638334620,55,18.8003,110.3967,73.0,16.62
Bathsheba,75,BB,1638334620,94,13.2167,-59.5167,79.41,24.16
Banda Aceh,84,ID,1638334621,69,5.5577,95.3222,83.64,13.65
Losal,100,IN,1638334621,24,27.4,74.9167,71.15,4.83
Senador Pompeu,48,BR,1638334621,79,-5.5881,-39.3717,76.69,6.87
Sierpc,76,PL,1638334622,94,52.8568,19.6691,25.34,5.08
Port Blair,100,IN,1638334622,87,11.6667,92.75,78.82,17.16
Moussoro,8,TD,1638334622,18,13.6408,16.4901,74.48,14.41
Paralímni,73,CY,1638334623,81,35.0375,33.9833,61.29,3.0
Mandan,1,US,1638334623,75,46.8267,-100.8896,42.96,3.0
Laas,43,IT,1638334623,79,46.6166,10.7002,34.54,2.57
Lázaro Cárdenas,86,MX,1638334624,85,17.9583,-102.2,76.57,3.74
Singarāyakonda,78,IN,1638334624,73,15.25,80.0333,80.04,11.12
Linxia Chengguanzhen,1,CN,1638334624,41,35.6003,103.2064,35.1,4.36
Carutapera,45,BR,1638334625,88,-1.195,-46.02,77.58,4.9
Port Moresby,40,PG,1638334515,66,-9.4431,147.1797,90.82,11.5
Raudeberg,98,NO,1638334625,93,61.9875,5.1352,32.67,1.99
Silopi,100,TR,1638334626,44,37.2497,42.4694,59.41,13.78
Necochea,59,AR,1638334626,83,-38.5473,-58.7368,47.03,9.44
